11	89.6153862	68.4615384615	90.3846153846
12	95.76923077	89.2307692308	93.0769230769
13	86.15384615	91.1538461538	83.0769230769
14	95	91.1538461538	88.8461538462
15	91.53846154	92.3076923077	90
16	80.38461538	91.1538461538	93.0769230769
17	53.46153846	73.4615384615	93.8461538462
18	91.53846154	88.8475836431	94.6153846154
19	86	88.8475836431	85.7692307692
20	91.53846154	96.9230769231	95
21	85.38461538	88.07692308	95
22	93.07692308	90	93.0769230769
23	93.46153846	84.2307692308	77.3076923077
24	94.61538462	89.23076923	89.6153846154
25	94.23076923	93.07692308	95.7692307692
26	90.38461538	90	95.3846153846


